#RIC,Date[L],Time[L],Type,Qualifiers,Open,High,Low,Last,Volume,Open Interest,Settle,Data Source
ALVG.DE,02-JUL-2001,,End Of Day,,345.5,345.5,338,342.5,1161569,,,Verified
ALVG.DE,03-JUL-2001,,End Of Day,,337.8,342.9,334.52,336.11,1122305,,,Verified
ALVG.DE,04-JUL-2001,,End Of Day,,337.2,339.5,330.41,332.55,962065,,,Verified
ALVG.DE,05-JUL-2001,,End Of Day,,330.6,340.48,330.6,340.1,1001230,,,Verified
ALVG.DE,06-JUL-2001,,End Of Day,,338,338,332.02,333.85,1025646,,,Verified
ALVG.DE,07-JUL-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,08-JUL-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,09-JUL-2001,,End Of Day,,334.5,338.7,333.5,337.7,822933,,,Verified
ALVG.DE,10-JUL-2001,,End Of Day,,338.1,338.95,333.12,333.8,687369,,,Verified
ALVG.DE,11-JUL-2001,,End Of Day,,330.8,333.44,323.1,326.3,1428777,,,Verified
ALVG.DE,12-JUL-2001,,End Of Day,,329,329.99,323.85,324.5,1170740,,,Verified
ALVG.DE,13-JUL-2001,,End Of Day,,325.01,326.29,317.01,321,1804793,,,Verified
ALVG.DE,14-JUL-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,15-JUL-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,16-JUL-2001,,End Of Day,,320.99,326.44,317,323.68,1069586,,,Verified
ALVG.DE,17-JUL-2001,,End Of Day,,321.6,324.9,319.5,321.1,797076,,,Verified
ALVG.DE,18-JUL-2001,,End Of Day,,320.01,320.9,312.48,312.48,1023149,,,Verified
ALVG.DE,19-JUL-2001,,End Of Day,,313.5,319,312.65,319,1179396,,,Verified
ALVG.DE,20-JUL-2001,,End Of Day,,317.01,319.33,306.2,307.5,2073185,,,Verified
ALVG.DE,21-JUL-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,22-JUL-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,23-JUL-2001,,End Of Day,,308,319.15,306,316,1429531,,,Verified
ALVG.DE,24-JUL-2001,,End Of Day,,316,319.75,313,314.5,815071,,,Verified
ALVG.DE,25-JUL-2001,,End Of Day,,316.5,319.79,307.4,308.23,1092472,,,Verified
